1,Medicine F,Particular which tough behavior. Military most attention international. Me soon bar his section.,TRUE,410,55
2,Medicine J,Responsibility agency agent use this part. Before tree professor after from science son hit.,TRUE,195,70
3,Medicine L,Herself large company reality. Quality back issue.,FALSE,726,30
4,Medicine H,Anyone member beautiful too find. Especially onto business growth business coach hard.,TRUE,386,77
5,Medicine A,Live wear interest article toward. Bar him candidate buy forget. Major mind simply.,FALSE,478,29
6,Medicine H,Seven idea as analysis room maintain clearly. Serve another various range probably fast service.,FALSE,633,26
7,Medicine B,Simply imagine reveal employee. Star cost write radio course rate. Thank attorney begin rule woman.,FALSE,343,95
8,Medicine L,Dream gas top current. Kid wife measure size.,FALSE,634,3
9,Medicine H,Skin staff yeah approach knowledge. All sound chance ball Congress actually subject.,TRUE,939,41
10,Medicine L,Turn also never help others manager well.,FALSE,496,64
11,Medicine J,Mission maybe reason leave smile or. Design resource when political.,TRUE,191,67
12,Medicine L,Name name ground year chance unit. Town full analysis great. Ball she let thus ask show.,TRUE,855,76
