1,Wednesday,03:46:55,06:14:10,17:02:32
2,Wednesday,13:49:12,06:20:09,06:40:45
3,Wednesday,17:03:31,16:09:14,12:41:10
4,Thursday,00:38:18,06:53:47,16:02:19
5,Monday,14:28:05,08:57:09,21:29:08
6,Monday,06:56:11,07:50:07,22:52:22
7,Monday,16:54:55,01:53:24,00:58:48
8,Monday,01:00:40,15:26:33,02:39:37
9,Monday,07:59:08,02:03:59,09:54:04
10,Monday,23:04:00,11:56:52,16:50:34
11,Friday,22:10:37,17:00:50,02:13:24
12,Wednesday,19:59:37,12:57:32,23:38:46
13,Tuesday,06:56:03,21:57:04,17:13:21
14,Wednesday,10:49:04,02:53:23,06:28:21
15,Friday,13:46:18,02:08:21,01:15:36
16,Wednesday,11:14:19,22:12:14,02:29:08
17,Thursday,16:57:44,14:53:39,22:05:47
18,Monday,10:36:32,07:35:24,22:43:26
19,Monday,14:59:22,04:11:14,21:08:00
20,Thursday,08:06:25,05:24:21,20:19:37
21,Wednesday,17:26:46,14:17:00,03:16:18
22,Thursday,20:47:16,23:36:51,14:25:38
23,Thursday,17:39:51,23:06:14,19:45:32
24,Friday,22:31:25,09:14:17,05:43:17
25,Tuesday,05:03:58,17:15:13,23:36:57
26,Tuesday,13:23:46,15:45:15,07:32:33
27,Wednesday,06:18:58,03:06:03,13:22:06
28,Monday,15:48:19,18:10:47,09:07:01
29,Monday,01:10:41,07:55:39,00:08:26
30,Wednesday,11:34:48,23:03:06,04:49:00
31,Thursday,13:10:40,12:38:58,00:23:48
32,Wednesday,20:49:38,01:41:41,04:41:47
33,Thursday,05:29:03,09:26:22,06:49:49
34,Friday,06:53:29,04:45:53,00:57:40
35,Wednesday,02:13:14,06:33:03,17:32:10
36,Wednesday,11:11:25,22:18:17,09:09:57
37,Tuesday,02:47:33,01:12:33,21:51:36
38,Friday,04:53:43,13:58:02,00:51:57
39,Wednesday,00:08:32,22:42:15,14:55:37
40,Friday,22:52:35,06:02:48,22:28:36
41,Thursday,08:34:54,08:17:33,09:41:37
42,Thursday,18:32:44,15:52:33,12:19:21
43,Friday,02:44:39,01:31:02,01:28:46
44,Monday,21:55:53,05:07:32,11:34:07
45,Wednesday,11:05:40,17:00:14,13:13:47
46,Friday,12:49:00,04:16:29,23:36:03
47,Wednesday,19:30:39,02:54:38,03:04:12
48,Wednesday,04:37:36,12:43:34,07:30:04
49,Thursday,14:56:40,22:20:55,10:36:53
50,Friday,20:17:59,01:13:10,07:18:57
51,Tuesday,06:31:14,08:10:56,16:37:52
52,Friday,08:49:14,08:31:52,02:36:07
53,Tuesday,07:23:25,22:52:00,15:59:54
54,Wednesday,03:39:45,23:29:18,12:46:46
55,Wednesday,07:36:08,19:43:57,10:29:44
56,Thursday,12:15:55,10:48:40,11:35:43
57,Friday,08:31:05,06:27:07,11:57:40
58,Monday,18:03:13,06:40:03,12:54:52
59,Thursday,06:04:29,22:36:32,06:06:30
60,Monday,21:08:15,22:38:16,04:22:09
61,Monday,06:50:59,05:26:00,18:56:54
62,Monday,14:35:13,01:33:41,23:53:16
63,Thursday,15:05:13,16:14:22,21:21:46
64,Friday,22:04:49,09:50:05,15:05:05
65,Tuesday,05:59:39,17:20:50,21:56:11
66,Friday,01:16:56,08:29:49,15:01:00
67,Friday,04:07:03,06:44:26,03:59:24
68,Tuesday,15:46:02,16:31:32,21:24:33
69,Monday,18:15:18,12:12:45,09:16:33
70,Tuesday,23:06:25,11:04:41,13:51:25
71,Monday,15:06:40,15:53:02,01:09:46
72,Friday,04:34:09,22:05:07,13:16:06
73,Tuesday,12:24:18,12:48:09,06:11:13
74,Tuesday,10:28:10,17:25:42,05:23:54
75,Monday,08:16:13,17:48:48,15:32:44
76,Friday,08:32:57,05:42:53,12:30:57
77,Wednesday,19:35:34,16:03:41,20:10:08
78,Friday,05:13:14,21:34:43,01:20:29
79,Monday,23:53:14,11:27:47,04:41:21
80,Friday,06:11:52,14:27:22,04:12:36
81,Monday,14:14:16,18:33:35,07:52:29
82,Monday,20:14:34,19:39:29,06:09:40
83,Tuesday,01:43:57,23:43:01,06:14:49
84,Thursday,17:57:45,23:53:09,10:00:15
85,Wednesday,06:32:51,22:12:14,10:29:53
86,Thursday,04:14:30,02:24:02,04:59:25
87,Thursday,15:47:45,23:41:50,19:36:08
88,Wednesday,04:45:22,23:51:48,23:26:00
89,Monday,07:50:23,02:48:37,05:55:40
90,Tuesday,10:31:18,23:28:01,06:13:03
91,Monday,01:52:58,22:13:12,12:12:14
92,Thursday,22:52:31,19:22:02,01:53:38
93,Friday,00:02:28,14:11:37,17:09:42
94,Monday,11:23:20,03:22:14,20:01:31
95,Tuesday,22:30:11,12:17:24,21:40:23
96,Wednesday,08:17:48,02:31:06,03:13:35
97,Tuesday,04:41:39,02:50:15,16:21:37
98,Monday,07:56:28,14:30:12,08:42:45
99,Tuesday,21:57:09,07:27:14,18:54:39
100,Tuesday,14:31:32,11:59:06,23:05:56
101,Friday,10:39:36,09:20:54,07:32:33
102,Tuesday,13:37:59,13:32:59,04:50:42
103,Tuesday,14:54:32,05:53:26,07:27:20
104,Friday,04:06:07,18:09:52,07:29:30
105,Thursday,02:18:36,18:05:48,04:28:46
106,Friday,10:46:52,10:18:52,12:29:10
107,Wednesday,08:14:54,21:17:07,04:39:04
108,Monday,09:15:18,22:41:41,12:28:01
109,Wednesday,08:00:08,12:11:54,13:16:57
110,Thursday,23:20:53,07:25:49,19:49:14
111,Tuesday,08:39:42,19:37:32,08:53:54
112,Monday,01:22:03,19:31:10,05:39:58
113,Tuesday,05:29:02,01:33:26,05:40:55
114,Friday,21:56:24,07:59:03,12:00:12
115,Tuesday,22:51:59,16:03:07,05:56:07
116,Wednesday,03:45:10,07:15:50,05:13:22
117,Tuesday,03:17:20,02:54:42,19:54:11
118,Friday,05:31:10,01:38:20,21:53:13
119,Monday,22:38:36,09:35:05,14:42:32
120,Wednesday,01:54:00,15:58:11,10:11:01
121,Tuesday,20:52:06,11:50:28,20:05:44
122,Tuesday,08:22:23,18:43:14,10:50:59
123,Friday,19:10:54,03:51:25,01:28:30
124,Wednesday,17:08:58,16:16:44,09:45:17
125,Tuesday,19:26:36,07:19:18,15:42:37
126,Friday,01:29:37,21:40:19,04:37:33
127,Monday,06:54:56,23:37:34,00:49:46
128,Tuesday,14:40:42,04:03:44,06:28:04
129,Monday,17:02:41,17:18:00,04:26:15
130,Tuesday,11:00:09,09:26:01,15:42:37
131,Wednesday,14:21:41,05:21:43,20:46:35
132,Friday,17:56:17,09:57:28,05:39:29
133,Monday,09:55:32,07:03:37,00:21:24
134,Friday,22:47:57,06:55:04,07:48:32
135,Tuesday,22:05:30,15:35:34,19:02:51
136,Tuesday,03:00:45,16:06:57,11:32:46
137,Monday,10:30:58,08:24:51,05:47:01
138,Tuesday,23:33:25,23:19:11,12:43:34
139,Thursday,03:59:22,15:11:01,18:26:50
140,Monday,15:38:05,14:40:46,00:36:41
141,Monday,00:23:49,00:27:51,21:40:14
142,Monday,15:13:50,14:46:50,18:57:19
143,Monday,09:32:08,19:22:55,00:20:18
144,Monday,17:20:41,09:41:49,12:28:59
145,Thursday,01:02:28,10:00:52,04:03:36
146,Friday,23:24:31,02:14:46,02:30:13
147,Thursday,13:17:20,13:29:31,21:08:51
148,Thursday,18:17:24,02:01:44,01:28:31
149,Tuesday,14:44:58,13:50:49,22:02:11
150,Wednesday,12:55:31,04:25:45,04:52:44
151,Thursday,09:06:22,05:51:11,13:41:40
152,Tuesday,17:31:31,02:40:19,13:42:05
153,Friday,11:56:41,05:57:13,09:47:05
154,Wednesday,17:39:33,04:44:28,15:02:37
155,Monday,21:06:49,02:15:53,08:50:32
156,Friday,14:50:22,13:39:35,02:50:31
157,Wednesday,14:06:39,03:04:48,18:30:29
158,Thursday,02:48:13,05:39:49,09:14:35
159,Monday,12:28:59,07:15:55,22:36:15
160,Monday,11:30:12,12:13:52,19:34:30
161,Thursday,07:52:26,19:38:09,09:58:24
162,Monday,18:26:14,02:13:55,22:01:42
163,Tuesday,10:41:10,23:37:30,15:09:25
164,Wednesday,05:03:28,08:12:38,16:40:50
165,Tuesday,10:11:00,08:59:45,20:50:08
166,Thursday,10:12:08,10:01:51,04:10:10
167,Tuesday,14:38:47,18:13:11,11:04:17
168,Friday,08:15:12,21:53:53,04:01:58
169,Tuesday,13:00:50,06:52:49,15:32:35
170,Friday,15:45:43,20:16:28,14:37:16
171,Friday,23:52:26,23:17:25,13:10:33
172,Friday,12:02:10,08:54:00,22:49:05
173,Friday,10:12:55,12:53:13,21:49:10
174,Wednesday,16:50:27,13:55:48,23:22:05
175,Wednesday,20:36:54,17:17:05,11:36:53
176,Friday,18:48:06,01:24:14,22:49:18
177,Tuesday,04:41:35,07:07:37,18:57:09
178,Tuesday,16:48:08,19:52:36,00:43:39
179,Tuesday,13:20:56,14:43:02,15:16:22
180,Friday,18:22:31,00:13:59,00:12:22
181,Monday,01:59:37,04:29:38,04:06:33
182,Tuesday,04:26:45,08:26:36,05:51:09
183,Monday,17:20:50,18:04:55,13:13:08
184,Thursday,10:24:04,06:21:03,00:56:43
185,Tuesday,15:17:22,20:50:21,22:36:26
